,Title,Artist,Album,Popularity,Play Count,Track URL,Acousticness,Danceability,Loudness,Valence,Energy,Liveness,Tempo,Explicit,Instrumentalness,Duration (ms),Genres,Sub_Genre,Main Genre,Release Year
41,Stereo Love - Radio Edit,Edward Maya  & Vika Jigulina,Stereo Love,73,6,https://open.spotify.com/track/1AguHaKOuggrVTebp7cZEI,0.0346,0.799,-3.896,0.586,0.783,0.0757,127.041,False,0.0186,184573,"romanian house, romanian pop",romanian pop,Hip-Hop,2010
42,Te Amo,Rihanna,Rated R,73,13,https://open.spotify.com/track/4YYHgF9dWyVSor0GtrBzdf,0.541,0.567,-5.455,0.751,0.707,0.1,171.917,True,0.000176,208427,"barbadian pop, pop, urban contemporary",pop,Pop,2010
43,Right Above It,Lil Wayne  & Drake,I Am Not A Human Being,73,13,https://open.spotify.com/track/1kMuU3TNQvHbqvXCWBodmP,0.0435,0.376,-4.348,0.463,0.841,0.578,76.052,True,0.0,271947,"hip hop, new orleans rap, pop rap, rap, trap",new orleans rap,Hip-Hop,2010
44,If We Ever Meet Again (Featuring Katy Perry),Timbaland  & Katy Perry,Shock Value II,73,13,https://open.spotify.com/track/360UM2DaiHZPRu0EsrOvMp,0.00481,0.652,-7.371,0.394,0.605,0.0605,126.091,False,0.0,292707,"dance pop, pop, pop rap",pop,Pop,2010
45,Mine,Taylor Swift,Speak Now,73,14,https://open.spotify.com/track/0dBW6ZsW8skfvoRfgeerBF,0.00265,0.624,-2.94,0.658,0.757,0.189,121.07,False,1.87e-06,230707,pop,pop,Pop,2010
46,Deuces (feat. Tyga & Kevin McCall),Chris Brown  & Tyga  & Kevin McCall,F.A.M.E. (Expanded Edition),72,18,https://open.spotify.com/track/6wN4nT2qy3MQc098yL3Eu9,0.0324,0.692,-5.109,0.217,0.736,0.0787,73.987,True,0.0,276560,"r&b, rap",rap,Hip-Hop,2010
47,Do You Remember,Jay Sean  & Sean Paul  & Lil Jon,All Or Nothing,72,16,https://open.spotify.com/track/6A5NlmBCsCGbJ27jHQgKV5,0.0204,0.854,-4.896,0.818,0.674,0.101,125.845,False,0.0,210800,"dance pop, pop, pop rap",pop,Pop,2010
48,Take It Off,Kesha,Animal (Expanded Edition),72,18,https://open.spotify.com/track/0WCiI0ddWiu5F2kSHgfw5S,4.14e-05,0.729,-5.292,0.74,0.675,0.0867,125.036,False,0.00126,215200,"dance pop, pop",pop,Pop,2010
49,Teach Me How to Dougie,Cali Swag District,The Kickback,71,15,https://open.spotify.com/track/61LtVmmkGr8P9I2tSPvdpf,0.2,0.846,-4.981,0.512,0.438,0.0939,85.013,True,9.43e-05,237480,pop rap,pop rap,Hip-Hop,2010
50,Carry Out (Featuring Justin Timberlake),Timbaland  & Justin Timberlake,Shock Value II,71,13,https://open.spotify.com/track/2DHc2e5bBn4UzY0ENVFrUl,0.114,0.531,-6.693,0.272,0.574,0.256,115.68,False,0.0308,232467,"dance pop, pop, pop rap",pop,Pop,2010
51,I Need A Dollar,Aloe Blacc,Good Things,71,13,https://open.spotify.com/track/3oUphdZVPyrsprZ8FgbmQS,0.199,0.84,-7.123,0.955,0.481,0.0873,95.497,False,0.0,243053,"pop soul, r&b",r&b,R&B,2010
52,Impossible,Shontelle,No Gravity,71,12,https://open.spotify.com/track/1T8PwF3JhIiWwBhun23RNe,0.385,0.6,-3.631,0.529,0.624,0.125,90.036,False,0.0,226533,"barbadian pop, dance pop, post-teen pop",dance pop,Pop,2010
53,If I Die Young,The Band Perry,The Band Perry,71,11,https://open.spotify.com/track/4u26EevCNXMhlvE1xFBJwX,0.348,0.606,-6.611,0.362,0.497,0.275,130.739,False,0.0,222773,"contemporary country, country, country dawn, country road",country,Country,2010
54,Find Your Love,Drake,Thank Me Later,71,14,https://open.spotify.com/track/4BycRneKmOs6MhYG9THsuX,0.0211,0.627,-6.006,0.758,0.614,0.0286,96.038,False,0.0,208947,"canadian hip hop, canadian pop, hip hop, rap, toronto rap",canadian pop,Pop,2010
55,My Chick Bad,Ludacris  & Nicki Minaj,Battle Of The Sexes (Deluxe),70,17,https://open.spotify.com/track/3bMNprrp2JDKZsGbiXpsJl,0.172,0.624,-6.782,0.757,0.723,0.483,84.789,True,0.0,216933,"atl hip hop, dance pop, dirty south rap, hip hop, old school atlanta hip hop, pop rap, rap, southern hip hop, trap",dance pop,Pop,2010
56,Whatcha Say,Jason Derulo,Jason Derulo,70,9,https://open.spotify.com/track/67T6l4q3zVjC5nZZPXByU8,0.0444,0.615,-5.507,0.711,0.711,0.145,144.036,False,0.0,221253,"dance pop, pop",pop,Pop,2010
57,Imma Be,Black Eyed Peas,THE E.N.D. (THE ENERGY NEVER DIES),70,15,https://open.spotify.com/track/0oJMv049q8hEkes9w0L1J4,0.179,0.597,-6.963,0.413,0.517,0.307,92.035,True,0.0,257560,"dance pop, pop, pop rap",pop,Pop,2010
58,Blah Blah Blah (feat. 3OH!3),Kesha  & 3OH!3,Animal (Expanded Edition),71,18,https://open.spotify.com/track/7lWUJpax919G4JdaFEVmCy,0.0843,0.752,-3.173,0.519,0.836,0.424,120.003,True,0.000425,172053,"dance pop, pop",pop,Pop,2010
