,Title,Artist,Album,Popularity,Play Count,Track URL,Acousticness,Danceability,Loudness,Valence,Energy,Liveness,Tempo,Explicit,Instrumentalness,Duration (ms),Genres,Sub_Genre,Main Genre,Release Year
58,Therefore I Am,Billie Eilish,Therefore I Am,76,1,https://open.spotify.com/track/54bFM56PmE4YLRnqpW6Tha,0.218,0.889,-7.773,0.716,0.34,0.055,94.009,FALSE,0.13,174321,"art pop, electropop, pop",electropop,Pop,2020
59,That Way - Bonus Track,Lil Uzi Vert,Eternal Atake,65,18,https://open.spotify.com/track/2ajzBr7vwHTEBeqDzcsNRC,0.0546,0.712,-5.368,0.504,0.598,0.154,130.007,TRUE,0,212354,"melodic rap, philly rap, rage rap, rap, trap",philly rap,Hip-Hop,2020
60,34+35,Ariana Grande,Positions,81,14,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF,0.237,0.83,-6.476,0.485,0.585,0.248,109.978,TRUE,0,173711,pop,pop,Pop,2020
61,Levitating (feat. DaBaby),Dua Lipa  & DaBaby,Levitating (feat. DaBaby),77,1,https://open.spotify.com/track/463CkQjx2Zk1yXoBuierM9,0.00883,0.702,-3.787,0.915,0.825,0.0674,102.977,FALSE,0,203064,"dance pop, pop, uk pop",pop,Pop,2020
62,THE SCOTTS,THE SCOTTS  & Travis Scott  & Kid Cudi,THE SCOTTS,78,1,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk,0.233,0.716,-7.648,0.28,0.537,0.157,129.979,TRUE,0,165978,viral rap,viral rap,Hip-Hop,2020
63,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix",Jack Harlow  & Tory Lanez  & DaBaby  & Lil Wayne,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) [Remix]",76,1,https://open.spotify.com/track/2MbdDtCv5LUVjYy9RuGTgC,0.0631,0.904,-5.224,0.835,0.723,0.185,145.013,TRUE,0,227478,"deep underground hip hop, kentucky hip hop, pop rap, rap",kentucky hip hop,Hip-Hop,2020
64,Breaking Me,Topic  & A7S,Breaking Me,79,1,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po,0.223,0.789,-5.652,0.664,0.72,0.129,122.031,FALSE,0,166794,"german dance, pop dance, pop edm, uk dance",pop dance,Pop,2020
65,Head & Heart (feat. MNEK),Joel Corry  & MNEK,Head & Heart (feat. MNEK),82,1,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9,0.168,0.734,-3.158,0.905,0.874,0.0489,122.953,FALSE,1.14E-05,166028,"dance pop, pop dance, uk dance",pop dance,Pop,2020
66,Put Your Records On,Ritt Momney,Put Your Records On,77,1,https://open.spotify.com/track/6AGOKlMZWLCaEJGnaROtF9,0.0563,0.399,-10.778,0.151,0.491,0.11,91.066,FALSE,0.00089,210463,bedroom pop,bedroom pop,Pop,2020
67,Mood Swings (feat. Lil Tjay),Pop Smoke  & Lil Tjay,Shoot For The Stars Aim For The Moon,80,19,https://open.spotify.com/track/5rZlwNFl01HqLWBQGryKSm,0.487,0.48,-6.335,0.269,0.602,0.0848,179.798,TRUE,0,213333,"brooklyn drill, rap",rap,Hip-Hop,2020
