,Title,Artist,Album,Popularity,Play Count,Track URL,Acousticness,Danceability,Loudness,Valence,Energy,Liveness,Tempo,Explicit,Instrumentalness,Duration (ms),Genres,Sub_Genre,Main Genre,Release Year
45,Never Let You Go - 2008 Remaster,Third Eye Blind,Blue,69,13.0,https://open.spotify.com/track/1sxUaLi0G2vB7dl4ogtCxH,0.0814,0.728,-5.034,0.967,0.94,0.109,113.76,False,0.000162,237240,"alternative metal, alternative rock, pop rock, post-grunge",alternative rock,Rock,2000
46,I Hope You Dance,Lee Ann Womack,I Hope You Dance,69,12.0,https://open.spotify.com/track/65B1tEOv5W294uCKbmEcFV,0.0632,0.385,-9.627,0.275,0.443,0.0898,151.278,False,0.0,294533,"contemporary country, country, country dawn, country road",country,Country,2000
47,The Riddle,Gigi D'Agostino,L'Amour Toujours,69,23.0,https://open.spotify.com/track/0ZqveF2rEFlz2oqF2xrriP,0.0173,0.74,-6.87,0.825,0.876,0.0785,127.002,False,0.00152,285427,"eurodance, italo dance",italo dance,Dance,2000
48,"U Know What's Up (feat. Lisa ""Left Eye"" Lopes)","Donell Jones  & Lisa ""Left Eye"" Lopes",Where I Wanna Be,69,13.0,https://open.spotify.com/track/5PMKzsUsTpZZGsCcJBuhP2,0.0402,0.854,-6.166,0.868,0.543,0.0419,103.032,True,5.73e-05,243733,"contemporary r&b, r&b, urban contemporary",r&b,R&B,2000
49,Beautiful Day,U2,All That You Can't Leave Behind,69,11.0,https://open.spotify.com/track/1VuBmEauSZywQVtqbxNqka,0.014,0.539,-6.495,0.454,0.926,0.36,136.279,False,0.00136,246400,"irish rock, permanent wave, rock",permanent wave,Rock,2000
50,It Feels So Good,Sonique,Hear My Cry,69,13.0,https://open.spotify.com/track/4Y8q64VnhD0vFYy9g2WFpi,0.0117,0.634,-7.278,0.558,0.677,0.126,135.012,False,0.00103,240867,dance,dance,Dance,2000
51,That's the Way It Is,Céline Dion,The Very Best of Celine Dion,68,14.0,https://open.spotify.com/track/5s4catxeZsaWFnOrvrXZHf,0.154,0.634,-5.424,0.577,0.886,0.118,93.04,False,0.0,241373,canadian pop,canadian pop,Pop,2000
52,Come on over Baby (All I Want Is You) - Radio Version,Christina Aguilera,Christina Aguilera (Expanded Edition),68,18.0,https://open.spotify.com/track/7A0apkTSTvMbSI7yplcmlh,0.226,0.829,-3.205,0.779,0.915,0.246,118.903,False,1.25e-05,203333,"dance pop, pop",pop,Pop,2000
53,Incomplete,Sisqo,Unleash The Dragon,68,13.0,https://open.spotify.com/track/3w8Mw9GHYepoTWOSdiyosj,0.282,0.746,-7.693,0.272,0.443,0.14,119.311,True,0.0,274227,"contemporary r&b, dirty south rap, hip pop, r&b, urban contemporary",dirty south rap,Hip-Hop,2000
54,Take A Picture,Filter,Title Of Record (Expanded Edition),68,20.0,https://open.spotify.com/track/6q4aoWgTQ8td2AvqQXuFqm,0.00147,0.541,-8.042,0.282,0.776,0.178,98.986,False,0.000221,363800,"alternative metal, alternative rock, grunge, industrial metal, nu metal, post-grunge",alternative rock,Rock,2000
55,Shackles (Praise You),Mary Mary,Go Get It,68,13.0,https://open.spotify.com/track/7JKEA8xYDoFp4q0QBW2PGg,0.0343,0.779,-2.773,0.8,0.834,0.0886,100.46,False,0.0,198347,"gospel, gospel r&b",gospel r&b,R&B,2000
56,Fool Again,Westlife,Westlife,67,18.0,https://open.spotify.com/track/5Aa33rAPkp7f7l1aVqsHO8,0.0475,0.533,-6.851,0.553,0.512,0.0442,75.984,False,0.0,234867,boy band,boy band,Pop,2000
57,Everything You Want,Vertical Horizon,Everything You Want,66,11.0,https://open.spotify.com/track/4cKGldbhGJniI8BrB3K6tb,0.0517,0.636,-6.389,0.736,0.761,0.0642,93.896,False,0.0,257067,"neo mellow, pop rock, post-grunge",pop rock,Pop,2000
58,Hemorrhage (In My Hands),Fuel,Something Like Human,66,15.0,https://open.spotify.com/track/1sjrDQXqAa9V07FjKIlAQ4,0.000144,0.301,-4.072,0.372,0.823,0.0833,152.017,False,0.000309,236867,"alternative metal, nu metal, post-grunge",nu metal,Heavy Metal,2000
59,Be Like That,3 Doors Down,The Better Life,65,11.0,https://open.spotify.com/track/3PbHle8KhJp6GuO1jLdEmQ,0.00528,0.487,-6.043,0.306,0.702,0.129,95.982,False,4.97e-06,265907,"alternative metal, nu metal, post-grunge, rock",nu metal,Heavy Metal,2000
60,I Just Wanna Love U (Give It 2 Me),JAY-Z,The Dynasty,64,16.0,https://open.spotify.com/track/0s46SltT4On0Z6kglK1I5c,0.301,0.8,-5.125,0.801,0.922,0.0352,98.631,True,9.31e-06,227867,"east coast hip hop, gangster rap, hip hop, pop rap, rap",gangster rap,Hip-Hop,2000
61,Born to Make You Happy,Britney Spears,...Baby One More Time (Digital Deluxe Version),64,16.0,https://open.spotify.com/track/4l1MNtoCiTxBwf6yxD7kFd,0.116,0.633,-4.842,0.686,0.922,0.071,84.11,False,0.000465,243533,"dance pop, pop",pop,Pop,2000
62,What a Girl Wants,Christina Aguilera,Christina Aguilera (Expanded Edition),67,18.0,https://open.spotify.com/track/5bGmuxShUba9maPswDnhCs,0.0684,0.754,-6.833,0.818,0.819,0.345,142.137,False,0.0,215800,"dance pop, pop",pop,Pop,2000
63,Shalala Lala,Vengaboys,The Platinum Album,64,11.0,https://open.spotify.com/track/4pV49P2v3sxI0XYjUTmOl1,0.0504,0.751,-5.802,0.973,0.901,0.0395,124.017,False,0.00308,214819,"bubblegum dance, eurodance, europop",eurodance,EDM,2000
64,Fill Me In,Craig David,Born to Do It,64,12.0,https://open.spotify.com/track/0UzsDmdpw0Q14KU4hieQss,0.376,0.682,-6.981,0.827,0.744,0.06,132.493,False,0.00951,257200,british soul,british soul,R&B,2000
65,Thank God I Found You (feat. Joe & 98°),Mariah Carey  & Joe  & 98º,Rainbow,64,14.0,https://open.spotify.com/track/1RS3LStQYhju50eBdD9Uul,0.592,0.348,-5.882,0.148,0.532,0.106,129.297,False,0.0,257360,"dance pop, pop, urban contemporary",pop,Pop,2000
66,I Need You,LeAnn Rimes,I Need You,64,15.0,https://open.spotify.com/track/046MBhhgQJJghnbgZCkaAR,0.02,0.478,-7.124,0.564,0.736,0.118,144.705,False,9.58e-05,229827,"contemporary country, country, country dawn, country road",country,Country,2000
67,Life Is A Rollercoaster,Ronan Keating,Ronan,63,14.0,https://open.spotify.com/track/1vlTMKVV0FxG6CxGTmSY3t,0.1,0.655,-8.923,0.862,0.791,0.334,118.981,False,0.000124,234827,europop,europop,Pop,2000
68,She Bangs - English Version,Ricky Martin,Sound Loaded,62,15.0,https://open.spotify.com/track/1uPrIHgYztXSkkcts9jet8,0.000915,0.63,-4.012,0.858,0.95,0.373,143.866,False,6.51e-06,280627,"latin pop, mexican pop, puerto rican pop",mexican pop,Pop,2000
69,I Turn to You,Christina Aguilera,Christina Aguilera (Expanded Edition),65,18.0,https://open.spotify.com/track/4Do68W4FWO2hRAJCzG1lus,0.38,0.599,-8.356,0.298,0.47,0.111,127.177,False,0.0,273707,"dance pop, pop",pop,Pop,2000
70,The Way You Love Me,Faith Hill,Breathe,62,13.0,https://open.spotify.com/track/6vgN6KGstss0GnBbKlMNK9,0.127,0.627,-7.175,0.734,0.716,0.0344,101.99,False,0.0,186067,"contemporary country, country, country dawn, country road",country,Country,2000
71,Never Be The Same Again,"Melanie C  & Lisa ""Left Eye"" Lopes",Northern Star,62,14.0,https://open.spotify.com/track/79EAVfOpzgfHx3IE2BVFQv,0.0921,0.689,-5.153,0.398,0.685,0.119,160.067,False,0.0,294200,"dance pop, europop, talent show",europop,Pop,2000
72,Against All Odds (Take A Look at Me Now) - Mariah Only,Mariah Carey,Against All Odds (Take A Look at Me Now) EP,62,6.0,https://open.spotify.com/track/6PS1YRjdJ5Muakh2oh0UB2,0.49,0.542,-6.332,0.218,0.498,0.101,117.763,False,0.0,201933,"dance pop, pop, urban contemporary",pop,Pop,2000
73,Be With You,Enrique Iglesias,Enrique,61,14.0,https://open.spotify.com/track/2N4viTG9njqCa4c46YyWs1,0.0395,0.683,-5.436,0.542,0.866,0.0483,121.996,False,0.00161,219360,"dance pop, latin pop, mexican pop",latin pop,Pop,2000
74,Where I Wanna Be,Donell Jones,Where I Wanna Be,61,13.0,https://open.spotify.com/track/2uZwyxrg6VPvlVsvclIfel,0.52,0.664,-9.131,0.453,0.396,0.268,102.053,False,0.0,253627,"contemporary r&b, r&b, urban contemporary",r&b,R&B,2000
75,Hey Baby (Radio Mix),DJ Ötzi,Hey Baby (Uh Ah),61,2.0,https://open.spotify.com/track/0HNXnhNZZtRZFLhP4hfyCP,0.123,0.666,-3.196,0.834,0.968,0.347,135.099,False,0.0,219240,"classic schlager, oktoberfest, schlager",oktoberfest,Dance,2000
