,Title,Artist,Album,Popularity,Play Count,Track URL,Acousticness,Danceability,Loudness,Valence,Energy,Liveness,Tempo,Explicit,Instrumentalness,Duration (ms),Genres,Sub_Genre,Main Genre,Release Year
84,Will You Be Mine,The Swallows,Dearest,6,24,https://open.spotify.com/track/3ulF0HEmv3rkHlukOekJ5h,0.971,0.53,-12.084,0.287,0.0495,0.106,71.665,False,2.28e-06,177120,['rhythm and blues'],rhythm and blues,R&B,1951
85,Where Are You (Now That I Need You),The Mello-Moods,Chart Toppin' Doo Woppin' Vol. 1: Rock Me All Night Long,1,28,https://open.spotify.com/track/5LY1Z7cL31D0aoiR3zn8hh,0.995,0.269,-11.664,0.155,0.203,0.0861,85.514,False,0.00441,192720,[],dpo-wop,R&B,1951
86,Eyesight To the Blind,The Larks,My Reverie,5,20,https://open.spotify.com/track/5hyX5W3m1WW7vMt8E0vgrg,0.885,0.577,-9.128,0.57,0.334,0.224,92.863,False,1.59e-06,175960,"['doo-wop', 'rhythm and blues']",rhythm and blues,R&B,1951
87,Bar Room Blues,Roy Brown,After Hours: The King Records Story - Volume 2,2,25,https://open.spotify.com/track/51a9FmoKkj1dSrBtNZnn0o,0.644,0.585,-7.572,0.863,0.459,0.337,73.904,False,0.0,183213,['jump blues'],jump blues,Blues,1951
88,My Reverie,The Larks,My Reverie,8,20,https://open.spotify.com/track/5PPmP7W8yHIexyhKtupZCi,0.967,0.249,-8.096,0.162,0.282,0.12,145.532,False,0.0,144600,"['doo-wop', 'rhythm and blues']",rhythm and blues,R&B,1951
89,Eternally,The Swallows,50s Doo Wop Essentials,1,25,https://open.spotify.com/track/2RQVaE4IIYOaqttbFp3BDE,0.969,0.268,-10.956,0.248,0.116,0.134,69.071,False,0.0,160520,['rhythm and blues'],rhythm and blues,R&B,1951
90,Dear John,Hank Williams,The Complete Hank Williams,26,225,https://open.spotify.com/track/7vwrhBF9Y3mTl8o4jfdMhS,0.739,0.745,-10.764,0.71,0.346,0.13,169.689,False,0.0,154707,"['country', 'honky tonk', 'traditional country', 'yodeling']",honky tonk,Country,1951
91,Shouldn't I Know,The Cardinals,Shouldn't I Know,1,1,https://open.spotify.com/track/1lxktDmbm7kZOXllSYyOnM,0.956,0.352,-16.626,0.326,0.0578,0.388,99.991,False,0.0,193881,"['doo-wop', 'rhythm and blues']",rhythm and blues,R&B,1951
92,Tend to Your Business,James Wayne,Tenderly (That's Original Jamaican Sound System),8,15,https://open.spotify.com/track/0uGxRHesPqVkUj7h89w1kd,0.935,0.611,-11.55,0.831,0.407,0.0551,78.136,False,0.00287,154160,[],rhythm and blues,R&B,1951
93,Moanin' At Midnight,Howlin' Wolf,Moanin' In The Moonlight,45,12,https://open.spotify.com/track/0nWFmSvTZmgxGKFxodXgIq,0.884,0.362,-13.978,0.755,0.507,0.116,93.468,False,0.00607,176573,"['acoustic blues', 'blues', 'chicago blues', 'delta blues', 'harmonica blues', 'memphis blues', 'traditional blues']",blues,Blues,1951
94,T-99 Blues,"Jimmy ""T99"" Nelson",Cry Hard Luck,4,23,https://open.spotify.com/track/1F8GZrT4AO4rgIoGe01q5h,0.987,0.667,-9.328,0.423,0.292,0.183,103.124,False,0.00142,187800,[],jump blues,Blues,1951
95,Harbor Lights,The Dominoes,18 Greatest Hits - Volume Two,2,18,https://open.spotify.com/track/0nm0uTwjeBvC323FGUi8KW,0.97,0.414,-13.714,0.365,0.212,0.112,111.55,False,0.0367,196387,['rhythm and blues'],rhythm and blues,R&B,1951
96,Flamingo,Earl Bostic,Blows a Fuse,22,20,https://open.spotify.com/track/3BUtxwq4WvjrXTw7mZo4G2,0.628,0.551,-6.708,0.578,0.533,0.309,107.338,False,0.0457,162227,"['jazz saxophone', 'jump blues', 'space age pop']",jump blues,Blues,1951
97,Best Wishes,Roy Milton,R. M. Blues / Best Wishes,29,2,https://open.spotify.com/track/7tMawwJlBgiqu1w62uMGcM,0.863,0.416,-16.909,0.327,0.25,0.102,187.486,False,0.0953,181252,"['jazz blues', 'jump blues', 'rhythm and blues']",jump blues,Blues,1951
